10 000 17 000 IL ILLINOIS                               161        320        9519
10 000 04 000 AZ ARIZONA                                145        246        6451
10 000 47 000 TN TENNESSEE                              130        244        9718
10 000 09 000 CT CONNECTICUT                            117        222        6579
10 000 08 000 CO COLORADO                               103        182        4754
10 000 11 000 DC DISTRICT OF COLUMBIA                    88        115        5156
10 000 53 000 WA WASHINGTON                              88        160        4807
10 000 26 000 MI MICHIGAN                                85        178        5485
10 000 29 000 MO MISSOURI                                81        161        4281
10 000 22 000 LA LOUISIANA                               80        156        3363
10 000 54 000 WV WEST VIRGINIA                           72        144        3275
10 000 18 000 IN INDIANA                                 70        142        3355
10 000 01 000 AL ALABAMA                                 66        133        3425
10 000 55 000 WI WISCONSIN                               66        116        3634
10 000 15 000 HI HAWAII                                  57        106        2816
10 000 21 000 KY KENTUCKY                                57        114        2678
10 000 28 000 MS MISSISSIPPI                             54        108        2220
10 000 19 000 IA IOWA                                    53        126        2872
10 000 32 000 NV NEVADA                                  51         91        2485
10 000 41 000 OR OREGON                                  46         68        2264
10 000 35 000 NM NEW MEXICO                              45         88        2664
10 000 40 000 OK OKLAHOMA                                44         89        1523
10 000 20 000 KS KANSAS                                  41         86        1586
10 000 27 000 MN MINNESOTA                               39         71        1376
10 000 33 000 NH NEW HAMPSHIRE                           32         54        1453
10 000 05 000 AR ARKANSAS                                31         65        1721
10 000 49 000 UT UTAH                                    31         58        1486
10 000 23 000 ME MAINE                                   30         54        1510
10 000 02 000 AK ALASKA                                  22         50        1027
10 000 31 000 NE NEBRASKA                                19         33        1152
10 000 16 000 ID IDAHO                                   17         36         879
10 000 44 000 RI RHODE ISLAND                            17         27         468
10 000 50 000 VT VERMONT                                 17         31         891
10 000 30 000 MT MONTANA                                 16         17         281
10 000 46 000 SD SOUTH DAKOTA                            15         29         519
10 000 38 000 ND NORTH DAKOTA                            10         15         193
10 000 56 000 WY WYOMING                                 10         12         390
11 000 96 000 DC DC Total Mig - US & For              23009      34992     1401589
11 000 97 000 DC DC Total Mig - US                    22259      33841     1345526
11 000 98 000 DC DC Total Mig - Foreign                 750       1151       56063
11 000 11 000 DC DC Non-Migrants                     215623     360019    15431865
11 000 24 000 MD MARYLAND                              8162      14791      432438
11 000 51 000 VA VIRGINIA                              4428       6398      314282
11 000 36 000 NY NEW YORK                              1494       1809       98506
11 000 06 000 CA CALIFORNIA                            1253       1531       85051
11 000 57 000 FR Foreign                                750       1151       56063
11 000 42 000 PA PENNSYLVANIA                           608        749       33666
11 000 25 000 MA MASSACHUSETTS                          571        683       32804
11 000 37 000 NC NORTH CAROLINA                         555        817       28119
11 000 48 000 TX TEXAS                                  545        760       40244
11 000 12 000 FL FLORIDA                                521        742       36452
11 000 17 000 IL ILLINOIS                               484        592       29754
11 000 34 000 NJ NEW JERSEY                             323        455       18219
11 000 13 000 GA GEORGIA                                309        450       15276
